Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
U86,Space4,inverse_socket_MX_hotswap,142.874735,-0.0002,0.0,top
U87,Space5,inverse_socket_MX_hotswap,166.687235,-0.0002,0.0,top
U88,custom2,inverse_socket_MX_hotswap,302.418485,38.0998,0.0,top
U89,RAlt,inverse_socket_MX_hotswap,190.499735,-0.0002,0.0,top
U90,RSuper,inverse_socket_MX_hotswap,214.312235,-0.0002,0.0,top
U91,Fn,inverse_socket_MX_hotswap,238.124735,-0.0002,0.0,top
U92,RCtrl,inverse_socket_MX_hotswap,261.937235,-0.0002,0.0,top
U93,ArLe,inverse_socket_MX_hotswap,283.368485,-0.0002,0.0,top
U94,ArDw,inverse_socket_MX_hotswap,302.418485,-0.0002,0.0,top
U95,ArRi,inverse_socket_MX_hotswap,321.468485,-0.0002,0.0,top
U96,custom3,inverse_socket_MX_hotswap,321.468485,38.0998,0.0,top
U97,custom4,inverse_socket_MX_hotswap,283.368485,19.0498,0.0,top
U98,custom5,inverse_socket_MX_hotswap,321.468485,19.0498,0.0,top
U99,RP2040,waveshare-rp2040-pad_solder_with_cutout,10.939,85.841,0.0,top
